Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ramirez-Beltran, N.D., Torres-Molina, L., Castro, J.M., Cruz-Pol, S., Colom-Ustáriz, J.G., Hosannah, N.","A nonlinear regression model in the time and space domain for radar rainfall nowcasting",2015,"International Journal of Hydrology Science and Technology","5","3",,"208","232",,,10.1504/IJHST.2015.071347,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940390597&doi=10.1504%2fIJHST.2015.071347&partnerID=40&md5=44d9df980edeab5942e22113597557ef",Article,Scopus,2-s2.0-84940390597
"Rodriguez-Solis, R.A., Colom-Ustariz, J.G., Cruz-Pol, S., Leon-Colon, L.","Microwave research at the University of Puerto Rico at Mayagüez",2014,"IEEE MTT-S International Microwave Symposium Digest",,, 6848677,"","",,,10.1109/MWSYM.2014.6848677,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905020586&doi=10.1109%2fMWSYM.2014.6848677&partnerID=40&md5=52ea357bf8376efc80ec2a63d0aa871d",Conference Paper,Scopus,2-s2.0-84905020586
"Torres Molina, L.S., Harmsen, E.W., Cruz-Pol, S.","Flood alert system using rainfall forecast data in Western Puerto Rico",2013,"International Geoscience and Remote Sensing Symposium (IGARSS)",,, 6721221,"574","577",,,10.1109/IGARSS.2013.6721221,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894229080&doi=10.1109%2fIGARSS.2013.6721221&partnerID=40&md5=e839a205c52fe3cf68254d04743bd5f0",Conference Paper,Scopus,2-s2.0-84894229080
"Kvasov, R., Cruz-Pol, S., Colom-Ustariz, J., Colon, L.L., Rees, P.","Weather radar data visualization using first-order interpolation",2013,"International Geoscience and Remote Sensing Symposium (IGARSS)",,, 6723602,"3574","3577",,,10.1109/IGARSS.2013.6723602,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894287139&doi=10.1109%2fIGARSS.2013.6723602&partnerID=40&md5=0bfb7949e1b4d4e39927d4c653b0a92c",Conference Paper,Scopus,2-s2.0-84894287139
"Mora-Navarro, K.M., Leon-Colon, L.V., Colom-Ustariz, J.G., Cruz-Pol, S., Demel, C.","Polarization effects on a single polarized off-the-grid X-band radar",2013,"International Geoscience and Remote Sensing Symposium (IGARSS)",,, 6723256,"2216","2218",,,10.1109/IGARSS.2013.6723256,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894275821&doi=10.1109%2fIGARSS.2013.6723256&partnerID=40&md5=441adf19d92486a287cc7d86d346af20",Conference Paper,Scopus,2-s2.0-84894275821
"Galvez, M.B., Colom, J.G., Chandrasekar, V., Junyent, F., Cruz-Pol, S., Rodriguez Solis, R.A., Leon, L., Rosario-Colon, J.J., De Jesus, B., Ortiz, J.A., Mora Navarro, K.M.","First observations of the initial radar node in the Puerto Rico TropiNet X-band polarimetric Doppler weather testbed",2013,"International Geoscience and Remote Sensing Symposium (IGARSS)",,, 6723287,"2337","2340",,1,10.1109/IGARSS.2013.6723287,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894235000&doi=10.1109%2fIGARSS.2013.6723287&partnerID=40&md5=ea12aaeb997ab73a07b4019a7bd9e3f1",Conference Paper,Scopus,2-s2.0-84894235000
"Deboer, D.R., Cruz-Pol, S.L., Davis, M.M., Gaier, T., Feldman, P., Judge, J., Kellermann, K.I., Long, D.G., Magnani, L., McKague, D.S., Pearson, T.J., Rogers, A.E.E., Reising, S.C., Taylor, G., Thompson, A.R., Van Zee, L.","Radio frequencies: Policy and management",2013,"IEEE Transactions on Geoscience and Remote Sensing","51","10", 6516009,"4918","4927",,4,10.1109/TGRS.2013.2253471,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885172052&doi=10.1109%2fTGRS.2013.2253471&partnerID=40&md5=d343522d98ac2b638c69903ba2221be2",Article,Scopus,2-s2.0-84885172052
"Trabal, J.M., Colom-Ustariz, J.G., Cruz-Pol, S.L., Pablos-Vega, G.A., McLaughlin, D.J.","Remote sensing of weather hazards using a low-cost and minimal infrastructure off-the-grid weather radar network",2013,"IEEE Transactions on Geoscience and Remote Sensing","51","5",,"2541","2555",,5,10.1109/TGRS.2012.2214227,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885022372&doi=10.1109%2fTGRS.2012.2214227&partnerID=40&md5=2f8e82dbd6a5473fedd04ab7c3cf4f25",Article,Scopus,2-s2.0-84885022372
"Trabal, J.M., Pablos-Vega, G.A., Ortiz, J.A., Colom-Ustariz, J.G., Cruz-Pol, S., Mclaughlin, D.J., Zink, M., Chandrasekar, V.","Off-the-grid weather radar network for precipitation monitoring in western Puerto Rico",2012,"IAHS-AISH Publication","351",,,"135","140",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883100826&partnerID=40&md5=e91b55f363714b901921d724644c6542",Conference Paper,Scopus,2-s2.0-84883100826
"Trabal, J.M., Colom-Ustariz, J., Pablos-Vega, G., Ortiz, J., Castellanos, W., Cruz-Pol, S., León, L., Rodríguez-Solis, R.","Low cost and minimal infrastructure off-the-grid X-band radar network development for the west coast of Puerto Rico",2011,"IEEE National Radar Conference - Proceedings",,, 5960691,"1026","1031",,,10.1109/RADAR.2011.5960691,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052451592&doi=10.1109%2fRADAR.2011.5960691&partnerID=40&md5=ba08a26a5eae143c322ec23dbe2319cb",Conference Paper,Scopus,2-s2.0-80052451592
"Chandrasekar, V., Wang, Y., Lim, S., Junyent, F., Bharadwaj, N., Brotzge, J., McLaughlin, D., Philips, B., Zink, M., Lyons, E., Westbrook, D., Cruz-Pol, S.","Accomplishments, challenges and opportunities in developing network based radar systems for high-impact small-scale weather events",2011,"IEEE National Radar Conference - Proceedings",,, 5960697,"1056","1061",,,10.1109/RADAR.2011.5960697,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052437542&doi=10.1109%2fRADAR.2011.5960697&partnerID=40&md5=7e2a4fd366851a99eb321a9f5b54512a",Conference Paper,Scopus,2-s2.0-80052437542
"Pablos-Vega, G.A., Colom-Ustáriz, J.G., Cruz-Pol, S., Trabal, J.M., Chandrasekar, V., George, J., Junyent, F.","Development of an Off-The-Grid X-Band radar for weather applications",2010,"International Geoscience and Remote Sensing Symposium (IGARSS)",,, 5650389,"1077","1080",,4,10.1109/IGARSS.2010.5650389,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650867119&doi=10.1109%2fIGARSS.2010.5650389&partnerID=40&md5=8fa1a25c6f5ac7729efeab227c1992ac",Conference Paper,Scopus,2-s2.0-78650867119
"Gálvez, M.B., Colom, J., Chandrasekar, V., Junyent, F., Cruz-Pol, S., Rodriguez, R.","Salient features of the radar nodes in the Puerto Rico tropical weather testbed",2009,"International Geoscience and Remote Sensing Symposium (IGARSS)","3",, 5417900,"","",,3,10.1109/IGARSS.2009.5417900,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950937110&doi=10.1109%2fIGARSS.2009.5417900&partnerID=40&md5=5982c3e86b1233e44d04a2d27da520fb",Conference Paper,Scopus,2-s2.0-77950937110
"Mclaughlin, D., Pepyne, D., Chandrasekar, V., Philips, B., Kurose, J., Zink, M., Droegemeier, K., Cruz-Pol, S., Junyent, F., Brotzge, J., Westbrook, D., Bharadwaj, N., Wang, Y., Lyons, E., Hondl, K., Liu, Y., Knapp, E., Xue, M., Hopf, A., Kloesel, K., Defonzo, A., Kollias, P., Brewster, K., Contreras, R., Dolan, B., Djaferis, T., Insanic, E., Frasier, S., Carr, F.","Short-wavelength technology and the potential for distributed networks of small radar systems",2009,"Bulletin of the American Meteorological Society","90","12",,"1797","1817",,142,10.1175/2009BAMS2886.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-75249083530&doi=10.1175%2f2009BAMS2886.1&partnerID=40&md5=d256a88f3ad714ef8a4a1934ed3dcf0c",Article,Scopus,2-s2.0-75249083530
"Ramirez-Beltran, N.D., Kuligowski, R.J., Cardona, M.J., Cruz-Pol, S.","Warm rainy clouds and droplet size distribution",2009,"WSEAS Transactions on Systems","8","1",,"75","85",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-66349101161&partnerID=40&md5=60310510310ea1be1bb37267bae7ee79",Article,Scopus,2-s2.0-66349101161
"Rojas-González, A., Harmsen, E.W., Cruz-Pol, S.","Assessment predictability limits in small watersheds to enhance the flash flood prediction in Western Puerto Rico",2008,"American Society for Photogrammetry and Remote Sensing - ASPRS Annual Conference 2008 - Bridging the Horizons: New Frontiers in Geospatial Collaboration","2",,,"601","605",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868701314&partnerID=40&md5=0ee81c199722291329b4c7b8602caf1a",Conference Paper,Scopus,2-s2.0-84868701314
"Harmsen, E.W., Gomez Mesa, S.E., Cabassa, E., Ramírez-Beltran, N.D., Cruz Pol, S., Kuligowski, R.J., Vasquez, R.","Satellite sub-pixel rainfall variability",2008,"WSEAS Transactions on Signal Processing","4","8",,"504","512",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249106958&partnerID=40&md5=e067e5394c945264103630b7fd041616",Article,Scopus,2-s2.0-58249106958
"Ramirez, N.D., Cruz-Pol, S., Ortiz, X., Castro, J.M., Kuliwoski, R.","An algorithm to improve the NEXRAD rain rate estimates",2007,"International Geoscience and Remote Sensing Symposium (IGARSS)",,, 4423491,"3060","3064",,1,10.1109/IGARSS.2007.4423491,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82355161141&doi=10.1109%2fIGARSS.2007.4423491&partnerID=40&md5=cc402994b284983f0648faa8931383f0",Conference Paper,Scopus,2-s2.0-82355161141
"Baquero, M., Cruz-Pol, S., Bringi, V.N., Chandrasekar, V.","Use of disdrometer data for X-band polarimetric radar simulation and tropical rain characterization",2006,"International Geoscience and Remote Sensing Symposium (IGARSS)",,, 4241639,"1906","1909",,,10.1109/IGARSS.2006.492,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34948819583&doi=10.1109%2fIGARSS.2006.492&partnerID=40&md5=48fb41820c2f0264dfe944805bdc3afd",Conference Paper,Scopus,2-s2.0-34948819583
"Maeso, J., Bringi, V.N., Cruz-Pol, S., Chandrasekar, V.","DSD characterization and computations of expected reflectivity using data from a two-dimensional video disdrometer deployed in a tropical environment",2005,"International Geoscience and Remote Sensing Symposium (IGARSS)","7",, 1526820,"5073","5076",,7,10.1109/IGARSS.2005.1526820,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745700156&doi=10.1109%2fIGARSS.2005.1526820&partnerID=40&md5=a1675de26dd6cbf8c3a51c96f4a5a286",Conference Paper,Scopus,2-s2.0-33745700156
"Baquero, M., Cruz-Pol, S., Bringi, V.N., Chandrasekar, V.","Rain-rate estimate algorithm evaluation and rainfall characterization in tropical environments using 2DVD, rain gauges and TRMM data",2005,"International Geoscience and Remote Sensing Symposium (IGARSS)","2",, 1525319,"1146","1149",,4,10.1109/IGARSS.2005.1525319,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745713498&doi=10.1109%2fIGARSS.2005.1525319&partnerID=40&md5=e5c415c0c56faf657247039851e106c6",Conference Paper,Scopus,2-s2.0-33745713498
"Morales, J., Trabal, J., Cruz-Pol, S.L., Sekelsky, S.M.","Ice Water Content (IWC) retrieval from cirrus clouds using millimeter-wave radar and in-situ ice crystal airborne data",2005,"International Geoscience and Remote Sensing Symposium (IGARSS)","7",, 1526819,"5069","5072",,,10.1109/IGARSS.2005.1526819,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745728120&doi=10.1109%2fIGARSS.2005.1526819&partnerID=40&md5=8e9610a613969acd405e046d70d3db8d",Conference Paper,Scopus,2-s2.0-33745728120
