"aaron","barth","32516","36088948300","14"
"aaron","odom","20739","7003997531","1"
"adam","engler","40333","7005709944","2"
"adam","ward","41234","35995977100","1"
"aditi","mitra","21385","8347594100","2"
"adrian","rodriguez-marek","35884","6506036632","7"
"akhlesh","lakhtakia","8834","53877620200","4"
"alark","joshi","26207","22937810100","2"
"albin","gasiewski","18274","35494722400","1"
"aldo","migone","2877","6701860937","5"
"aldo","morales","11651","7202369504","2"
"alexander","grushow","4497","23014959100","3"
"alexander","katsevich","7754","7003958517","1"
"alexander","russell","8012","7402736365","17"
"alexander","ryzhkov","10263","7006446865","10"
"alexander","yong","10524","23394394000","8"
"alexandre","eremenko","29871","7102260026","3"
"alexey","fedorov","31130","7402999258","4"
"alexia","smith","40334","55498589200","1"
"alfinio","flores","10032","7201721952","2"
"alfred","rodi","36956","6602460493","2"
"alison","coil","7278","6701820665","23"
"alix","darden","3541","6602230882","1"
"allison","druin","8708","6701920553","5"
"alonzo","kelly","23587","7402152788","4"
"amar","raheja","6519","6701797063","2"
"amit","pathak","38891","23971167400","1"
"amitava","majumdar","26278","7201437647","5"
"amy","apprill","16575","6508309772","6"
"amy","defelice","9691","22834581200","1"
"amy","moll","17277","7006569783","4"
"anbo","wang","12308","7404619710","4"
"andrea","fumagalli","31150","7006518049","3"
"andrea","ogston","2202","7004612065","1"
"andrea","thomaz","24034","13007283900","3"
"andrea","weeks","40700","7004333757","3"
"andreas","kronenberg","24239","24526132600","2"
"andreas","seeger","10726","7102619924","10"
"andreas","stefik","36826","9239542500","4"
"andrew","baker","2072","35555614200","3"
"andrew","farmer","37320","34769861100","9"
"andrew","krumm","33512","36622623000","3"
"andrew","mccallum","2167","7003773569","1"
"andrew","mehl","19727","7005547412","1"
"andrew","murray","16676","7401933251","2"
"andrew","richardson","39759","35345618900","1"
"andrew","short","7674","14013314100","3"
"andrew","sih","39338","7006332218","15"
"andrew","sykes","39975","56529022000","1"
"andrew","whitehead","20647","12800200000","2"
"andrew","whitehead","23309","12800200000","2"
"angela","bielefeldt","1547","6701785092","2"
"angela","pannier","19004","24479921900","2"
"angie","chung","39538","35859649100","1"
"ani","aprahamian","25907","15070632200","8"
"ani","hsieh","40266","23094434600","3"
"anji","seth","5231","7103146552","14"
"ann","house","23487","25421608800","3"
"ann","tarrant","23405","6603632121","6"
"anne","greenbaum","14149","56564294100","2"
"anne","sheehan","25297","7006771218","8"
"anne","shiu","38270","36756681800","1"
"anneke","janzen","17319","55755628200","1"
"anthony","kendall","4241","14041940100","1"
"aranya","chakrabortty","24845","16308759500","2"
"ari","juels","24947","55897101200","10"
"aristides","marcano","17527","55667298800","1"
"armistead","russell","34921","56563469600","4"
"arul","jayaraman","20539","8850543300","5"
"aryya","gangopadhyay","41471","7101627008","1"
"asad","yousuf","36534","6603745097","1"
"ashok","veeraraghavan","8079","6506177844","6"
"ashraf","ayoub","6350","7005361176","2"
"atif","memon","13373","35599876500","4"
"atsuhiro","muto","10189","16316487400","6"
"attila","ambrus","8677","36804950200","2"
"avinash","kodi","9092","7801323515","4"
"b.","turner","3750","7401858700","1"
"bandana","kar","25539","24171252600","1"
"barbara","john","10424","7102211321","5"
"barbara","sherman","24837","23490336700","2"
"barbara","waldman","11967","7004202153","1"
"barret","phillips","31356","54890401500","1"
"barry","dellinger","11171","7005174006","1"
"barry","dunning","2471","7005569425","1"
"barry","kurtz","4492","7005907169","2"
"barry","williams","28265","8086674900","2"
"bart","geerts","41942","6701590980","20"
"behnam","arad","3773","6603709057","1"
"ben","fitzhugh","35524","6507531991","1"
