Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Luke, C., Roosevelt, C.H., Scott, C.B.","Yörük Legacies: Space, Scent, and Sediment Geochemistry",2017,"International Journal of Historical Archaeology","21","1",,"152","177",,,10.1007/s10761-016-0345-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973658838&doi=10.1007%2fs10761-016-0345-6&partnerID=40&md5=0748dc0bb3a364ef23d89c6a7b2f4c6e",Article,Scopus,2-s2.0-84973658838
"Roosevelt, C.H., Luke, C.","The story of a forgotten kingdom? Survey archaeology and the historical geography of central Western Anatolia in the second millennium BC [L’histoire d’un royaume oublié ? Prospections archéologiques et géographie historique dans le centre-ouest de l’Anatolie au second millénaire av. J.-C.]",2017,"European Journal of Archaeology","20","1",,"120","147",,,10.1017/eaa.2016.2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011620774&doi=10.1017%2feaa.2016.2&partnerID=40&md5=19bddd2acd17bdfd9848d8146ef15cba",Article,Scopus,2-s2.0-85011620774
"Luke, C., Roosevelt, C.H., Cobb, P.J., Çilingiroʇlu, C.","Composing communities: Chalcolithic through Iron Age survey ceramics in the Marmara Lake basin, western Turkey",2015,"Journal of Field Archaeology","40","4",,"428","449",,1,10.1179/2042458215Y.0000000009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939532191&doi=10.1179%2f2042458215Y.0000000009&partnerID=40&md5=41151b50bc9ee07bf1cf89932a9b3ad4",Article,Scopus,2-s2.0-84939532191
"Frank, T., Luke, C., Roosevelt, C.","Thermal zoning and natural ventilation in vernacular Anatolian settlements",2015,"Vernacular Architecture: Towards a Sustainable Future - Proceedings of the International Conference on Vernacular Heritage, Sustainability and Earthen Architecture",,,,"305","310",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906819258&partnerID=40&md5=526b90580852a04556d8313e81477ebd",Conference Paper,Scopus,2-s2.0-84906819258
"Roosevelt, C.H., Cobb, P., Moss, E., Olson, B.R., Ünlüsoy, S.","Excavation is destruction digitization: Advances in archaeological practice",2015,"Journal of Field Archaeology","40","3",,"325","346",,13,10.1179/2042458215Y.0000000004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938945420&doi=10.1179%2f2042458215Y.0000000004&partnerID=40&md5=c28a937197434bd3fd9974b2cb8d8d4c",Article,Scopus,2-s2.0-84938945420
"Roosevelt, C.H.","Iron Age Western Anatolia: The Lydian Empire and Dynastic Lycia",2012,"A Companion to the Archaeology of the Ancient Near East","2",,,"896","913",,,10.1002/9781444360790.ch48,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886105435&doi=10.1002%2f9781444360790.ch48&partnerID=40&md5=0e8ef2cdfdb618d780ebb5e4b5ccf989",Book Chapter,Scopus,2-s2.0-84886105435
"Kersel, M.M., Luke, C., Roosevelt, C.H.","Valuing the past: Perceptions of archaeological practice in Lydia and the Levant",2008,"Journal of Social Archaeology","8","3",,"298","319",,16,10.1177/1469605308095007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51649131250&doi=10.1177%2f1469605308095007&partnerID=40&md5=877eeb1ee97e490297dd3a904f297ed2",Article,Scopus,2-s2.0-51649131250
"Roosevelt, C.H.","Tumulus survey and museum research in Lydia, Western Turkey: Determining Lydian- and Persian-period settlement patterns",2006,"Journal of Field Archaeology","31","1",,"61","76",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-42049112791&partnerID=40&md5=af6c2bef2a95552b999979fa6b643114",Review,Scopus,2-s2.0-42049112791
"Roosevelt, C.H., Luke, C.","Mysterious shepherds and hidden treasures: The culture of looting in Lydia, western Turkey",2006,"Journal of Field Archaeology","31","2",,"185","198",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51649123465&partnerID=40&md5=a2517a40cafe2246f37eb48a7d51e89b",Review,Scopus,2-s2.0-51649123465
"Roosevelt, C.H., Luke, C.","Looting Lydia: The destruction of an archaeological landscape in Western Turkey",2006,"Archaeology Cultural Heritage and the Antiquities Trade",,,,"173","187",,21,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62949194817&partnerID=40&md5=7fa3294431b20bf1da1c7034a5a54810",Book Chapter,Scopus,2-s2.0-62949194817
"Roosevelt, C.H.","Symbolic door stelae and graveside monuments in western Anatolia",2006,"American Journal of Archaeology","110","1",,"65","91",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960521277&partnerID=40&md5=af2a640c5c710c32107ad75c38473d01",Review,Scopus,2-s2.0-79960521277
