Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Antonaccio, O., Botchkovar, E.V., Hughes, L.A.","Ecological Determinants of Situated Choice in Situational Action Theory: Does Neighborhood Matter?",2017,"Journal of Research in Crime and Delinquency","54","2",,"208","243",,,10.1177/0022427816678908,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011591060&doi=10.1177%2f0022427816678908&partnerID=40&md5=4fd1506b55ed11cc7cf2fe124cddaa62",Article,Scopus,2-s2.0-85011591060
"Botchkovar, E., Marshall, I.H., Rocque, M., Posick, C.","The Importance of Parenting in the Development of Self-Control in Boys and Girls: Results from a Multinational Study of Youth",2015,"Journal of Criminal Justice","43","2",,"133","141",,3,10.1016/j.jcrimjus.2015.02.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924346084&doi=10.1016%2fj.jcrimjus.2015.02.001&partnerID=40&md5=a701a03775ecdc1013561d655c151326",Article,Scopus,2-s2.0-84924346084
"Zimmerman, G.M., Botchkovar, E.V., Antonaccio, O., Hughes, L.A.","Low Self-Control in “Bad” Neighborhoods: Assessing the Role of Context on the Relationship Between Self-Control and Crime",2015,"Justice Quarterly","32","1",,"56","84",,2,10.1080/07418825.2012.737472,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912013864&doi=10.1080%2f07418825.2012.737472&partnerID=40&md5=0e2eea539b34c21c5b1aae5141c39c03",Article,Scopus,2-s2.0-84912013864
"Hughes, L.A., Antonaccio, O., Botchkovar, E.V.","How General is Control Balance Theory? Evidence from Ukraine",2015,"Justice Quarterly","32","6",,"950","975",,,10.1080/07418825.2013.864696,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943199084&doi=10.1080%2f07418825.2013.864696&partnerID=40&md5=852bbc819ac33931183bd85cdcce6b34",Article,Scopus,2-s2.0-84943199084
"Botchkovar, E., Broidy, L.","Accumulated Strain, Negative Emotions,and Crime: A Test of General Strain Theory in Russia",2013,"Crime and Delinquency","59","6",,"837","860",,4,10.1177/0011128710382346,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881361389&doi=10.1177%2f0011128710382346&partnerID=40&md5=7f6994ad75c1930e74150a5fc248a488",Article,Scopus,2-s2.0-84881361389
"Botchkovar, E.V., Tittle, C.R., Antonaccio, O.","Strain, Coping, and Socioeconomic Status: Coping Histories and Present Choices",2013,"Journal of Quantitative Criminology","29","2",,"217","250",,6,10.1007/s10940-012-9177-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877637067&doi=10.1007%2fs10940-012-9177-7&partnerID=40&md5=349c8abc5a567f003a604995bcb2f8bb",Article,Scopus,2-s2.0-84877637067
"Botchkovar, E.V., Broidy, L.","Parenting, self-control, and the gender gap in heavy drinking: The case of Russia",2013,"International Journal of Offender Therapy and Comparative Criminology","57","3",,"357","376",,7,10.1177/0306624X11435318,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874409541&doi=10.1177%2f0306624X11435318&partnerID=40&md5=a0bbfb2f688d4b38d1f7b3a9e1109465",Article,Scopus,2-s2.0-84874409541
"Tittle, C.R., Antonaccio, O., Botchkovar, E.","Social learning, reinforcement and crime: Evidence from three European cities",2012,"Social Forces","90","3", sor020,"863","890",,7,10.1093/sf/sor020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872574927&doi=10.1093%2fsf%2fsor020&partnerID=40&md5=3344ca19b003c6674949d58705957df3",Article,Scopus,2-s2.0-84872574927
"Antonaccio, O., Botchkovar, E.V., Tittle, C.R.","Attracted to crime: Exploration of criminal motivation among respondents in three european cities",2011,"Criminal Justice and Behavior","38","12",,"1200","1221",,1,10.1177/0093854811423347,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-81055124994&doi=10.1177%2f0093854811423347&partnerID=40&md5=8b10a37cfbd39f110e6df3c2951616dc",Article,Scopus,2-s2.0-81055124994
"Tittle, C.R., Botchkovar, E.V., Antonaccio, O.","Criminal Contemplation, National Context, and Deterrence",2011,"Journal of Quantitative Criminology","27","2",,"225","249",,6,10.1007/s10940-010-9104-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955604524&doi=10.1007%2fs10940-010-9104-8&partnerID=40&md5=13223b7ea54ae174237c938138fdefe1",Article,Scopus,2-s2.0-79955604524
"Tittle, C.R., Antonaccio, O., Botchkovar, E., Kranidioti, M.","Expected utility, self-control, morality, and criminal probability",2010,"Social Science Research","39","6",,"1029","1046",,22,10.1016/j.ssresearch.2010.08.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958460868&doi=10.1016%2fj.ssresearch.2010.08.007&partnerID=40&md5=9983974be3eb3d198e14c0b17c53bbeb",Article,Scopus,2-s2.0-77958460868
"Botchkovar, E.V., Hughes, L.A.","Strain and alcohol use in Russia: A gendered analysis",2010,"Sociological Perspectives","53","3",,"297","319",,6,10.1525/sop.2010.53.3.297,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956755624&doi=10.1525%2fsop.2010.53.3.297&partnerID=40&md5=b6d62cd7fced7b14cdcb1cb604f8ca6a",Article,Scopus,2-s2.0-77956755624
"Antonaccio, O., Tittle, C.R., Botchkovar, E., Kranidiotis, M.","The correlates of crime and deviance: Additional evidence",2010,"Journal of Research in Crime and Delinquency","47","3",,"297","328",,16,10.1177/0022427810365678,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954911812&doi=10.1177%2f0022427810365678&partnerID=40&md5=8f51fd669c17b7025d054c45f7e3b1e9",Article,Scopus,2-s2.0-77954911812
"Botchkovar, E.V., Tittle, C.R., Antonaccio, O.","General strain theory: Additional evidence using cross-cultural data",2009,"Criminology","47","1",,"131","176",,43,10.1111/j.1745-9125.2009.00141.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-61649112197&doi=10.1111%2fj.1745-9125.2009.00141.x&partnerID=40&md5=894accf757f00108c015ba55893a16b4",Article,Scopus,2-s2.0-61649112197
"Botchkovar, E., Tittle, C.R.","Delineating the scope of Reintegrative Shaming theory: An explanation of contingencies using Russian data",2008,"Social Science Research","37","3",,"703","720",,5,10.1016/j.ssresearch.2007.12.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-43849105223&doi=10.1016%2fj.ssresearch.2007.12.001&partnerID=40&md5=2acc0e47a5ab121ff6b335c5f3aa0c8a",Article,Scopus,2-s2.0-43849105223
