Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Fu, Y., Li, Y., Lidstrom, M.","The oxidative TCA cycle operates during methanotrophic growth of the Type I methanotroph Methylomicrobium buryatense 5GB1",2017,"Metabolic Engineering","42",,,"43","51",,,10.1016/j.ymben.2017.05.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020294971&doi=10.1016%2fj.ymben.2017.05.003&partnerID=40&md5=be1834f4edcbd5f6ca00b8daf4f138ac",Article,Scopus,2-s2.0-85020294971
"Krause, S.M.B., Johnson, T., Karunaratne, Y.S., Fu, Y., Beck, D.A.C., Chistoserdova, L., Lidstrom, M.E.","Lanthanide-dependent cross-feeding of methane-derived carbon is linked by microbial community interactions",2017,"Proceedings of the National Academy of Sciences of the United States of America","114","2",,"358","363",,1,10.1073/pnas.1619871114,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009410576&doi=10.1073%2fpnas.1619871114&partnerID=40&md5=f1d40a186305f740aef6303745d2c6c7",Conference Paper,Scopus,2-s2.0-85009410576
"Puri, A.W., Schaefer, A.L., Fu, Y., Beck, D.A.C., Greenberg, E.P., Lidstrom, M.E.","Quorum sensing in a methane-oxidizing bacterium",2017,"Journal of Bacteriology","199","5", e00773-16,"","",,,10.1128/JB.00773-16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013867901&doi=10.1128%2fJB.00773-16&partnerID=40&md5=f8006ff46316a25c13cc55c04ff35144",Article,Scopus,2-s2.0-85013867901
"Fu, Y., Beck, D.A.C., Lidstrom, M.E.","Difference in C<inf>3</inf>-C<inf>4</inf> metabolism underlies tradeoff between growth rate and biomass yield in Methylobacterium extorquens AM1",2016,"BMC Microbiology","16","1", 156,"","",,1,10.1186/s12866-016-0778-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978513794&doi=10.1186%2fs12866-016-0778-4&partnerID=40&md5=bf64c26e6da3f32adae461f3be5c18a4",Article,Scopus,2-s2.0-84978513794
"Hu, B., Yang, Y.-M., Beck, D.A.C., Wang, Q.-W., Chen, W.-J., Yang, J., Lidstrom, M.E., Yang, S.","Comprehensive molecular characterization of Methylobacterium extorquens AM1 adapted for 1-butanol tolerance",2016,"Biotechnology for Biofuels","9","1", 84,"","",,4,10.1186/s13068-016-0497-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963819037&doi=10.1186%2fs13068-016-0497-y&partnerID=40&md5=2bea98ce26a24297f6fbc6ddd588f24c",Article,Scopus,2-s2.0-84963819037
"Chu, F., Lidstrom, M.E.","XoxF acts as the predominant methanol dehydrogenase in the type I methanotroph Methylomicrobium buryatense",2016,"Journal of Bacteriology","198","8",,"1317","1325",,14,10.1128/JB.00959-15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963851091&doi=10.1128%2fJB.00959-15&partnerID=40&md5=ac0bc1cd39d15b6b4297270b61cfec17",Article,Scopus,2-s2.0-84963851091
"Yan, X., Chu, F., Puri, A.W., Fu, Y., Lidstrom, M.E.","Electroporation-based genetic manipulation in type I methanotrophs",2016,"Applied and Environmental Microbiology","82","7",,"2062","2069",,9,10.1128/AEM.03724-15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962216108&doi=10.1128%2fAEM.03724-15&partnerID=40&md5=b2dfab44898d95663d5d2cb8a3a74443",Article,Scopus,2-s2.0-84962216108
"Reaser, B.C., Yang, S., Fitz, B.D., Parsons, B.A., Lidstrom, M.E., Synovec, R.E.","Non-targeted determination of 13C-labeling in the Methylobacterium extorquens AM1 metabolome using the two-dimensional mass cluster method and principal component analysis",2016,"Journal of Chromatography A","1432",,,"111","121",,3,10.1016/j.chroma.2015.12.088,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964301762&doi=10.1016%2fj.chroma.2015.12.088&partnerID=40&md5=a2b655d73f6c2f16f3cfef00de9fe44d",Article,Scopus,2-s2.0-84964301762
"Chu, F., Beck, D.A.C., Lidstrom, M.E.","MxaY regulates the lanthanide-mediated methanol dehydrogenase switch in Methylomicrobium buryatense",2016,"PeerJ","2016","9", e2435,"","",,2,10.7717/peerj.2435,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991729066&doi=10.7717%2fpeerj.2435&partnerID=40&md5=c8b004f5eefe32e52eb95e9e59ce9624",Article,Scopus,2-s2.0-84991729066
"Torre, A., Metivier, A., Chu, F., Laurens, L.M.L., Beck, D.A.C., Pienkos, P.T., Lidstrom, M.E., Kalyuzhnaya, M.G.","Genome-scale metabolic reconstructions and theoretical investigation of methane conversion in Methylomicrobium buryatense strain 5G(B1)",2015,"Microbial Cell Factories","14","1", 188,"","",,15,10.1186/s12934-015-0377-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961187737&doi=10.1186%2fs12934-015-0377-3&partnerID=40&md5=887ca5eef429753b7d4b4ade358a4638",Article,Scopus,2-s2.0-84961187737
"Gilman, A., Laurens, L.M., Puri, A.W., Chu, F., Pienkos, P.T., Lidstrom, M.E.","Bioreactor performance parameters for an industrially-promising methanotroph Methylomicrobium buryatense 5GB1",2015,"Microbial Cell Factories","14","1", 182,"","",,13,10.1186/s12934-015-0372-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960364921&doi=10.1186%2fs12934-015-0372-8&partnerID=40&md5=b7b75b895eccc7e4a3dcc67ca5c09430",Article,Scopus,2-s2.0-84960364921
"Kalyuzhnaya, M.G., Puri, A.W., Lidstrom, M.E.","Metabolic engineering in methanotrophic bacteria",2015,"Metabolic Engineering","29",,,"142","152",,41,10.1016/j.ymben.2015.03.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926364931&doi=10.1016%2fj.ymben.2015.03.010&partnerID=40&md5=8f0c316488756aae6dbf279da426a09d",Article,Scopus,2-s2.0-84926364931
"Siegel, J.B., Smith, A.L., Poust, S., Wargacki, A.J., Bar-Even, A., Louw, C., Shen, B.W., Eiben, C.B., Tran, H.M., Noor, E., Gallaher, J.L., Bale, J., Yoshikuni, Y., Gelb, M.H., Keasling, J.D., Stoddard, B.L., Lidstrom, M.E., Baker, D.","Computational protein design enables a novel one-carbon assimilation pathway",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","12",,"3704","3709",,43,10.1073/pnas.1500545112,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925426233&doi=10.1073%2fpnas.1500545112&partnerID=40&md5=f5138ae0f44c85367b13ccf85b5345c9",Article,Scopus,2-s2.0-84925426233
"Good, N.M., Martinez-Gomez, N.C., Beck, D.A.C., Lidstrom, M.E.","Ethylmalonyl coenzyme a mutase operates as a metabolic control point in Methylobacterium extorquens AM1",2015,"Journal of Bacteriology","197","4",,"727","735",,3,10.1128/JB.02478-14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921740560&doi=10.1128%2fJB.02478-14&partnerID=40&md5=76726c2b4faa36dbbf985024dbd7d2f2",Article,Scopus,2-s2.0-84921740560
"Martinez-Gomez, N.C., Good, N.M., Lidstrom, M.E.","Methenyl-dephosphotetrahydromethanopterin is a regulatory signal for acclimation to changes in substrate availability in Methylobacterium extorquens AM1",2015,"Journal of Bacteriology","197","12",,"2020","2026",,,10.1128/JB.02595-14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929414572&doi=10.1128%2fJB.02595-14&partnerID=40&md5=439348e7683cbf3f366fe139f140656e",Article,Scopus,2-s2.0-84929414572
"Puri, A.W., Owen, S., Chu, F., Chavkin, T., Beck, D.A.C., Kalyuzhnaya, M.G., Lidstrom, M.E.","Genetic tools for the industrially promising methanotroph Methylomicrobium buryatense",2015,"Applied and Environmental Microbiology","81","5",,"1775","1781",,21,10.1128/AEM.03795-14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922876601&doi=10.1128%2fAEM.03795-14&partnerID=40&md5=efdc5ade5f08ee2dfa8784c278fd9516",Article,Scopus,2-s2.0-84922876601
"Oshkin, I.Y., Beck, D.A.C., Lamb, A.E., Tchesnokova, V., Benuska, G., Mctaggart, T.L., Kalyuzhnaya, M.G., Dedysh, S.N., Lidstrom, M.E., Chistoserdova, L.","Methane-fed microbial microcosms show differential community dynamics and pinpoint taxa involved in communal response",2015,"ISME Journal","9","5",,"1119","1129",,9,10.1038/ismej.2014.203,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928582255&doi=10.1038%2fismej.2014.203&partnerID=40&md5=d9072dee6c088e0b42ca8e39b6a599ed",Article,Scopus,2-s2.0-84928582255
"Beck, D.A.C., McTaggart, T.L., Setboonsarng, U., Vorobev, A., Kalyuzhnaya, M.G., Ivanova, N., Goodwin, L., Woyke, T., Lidstrom, M.E., Chistoserdova, L.","The expanded diversity of Methylophilaceae from lake Washington through cultivation and genomic sequencing of novel ecotypes",2014,"PLoS ONE","9","7", e102458,"","",,22,10.1371/journal.pone.0102458,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904803295&doi=10.1371%2fjournal.pone.0102458&partnerID=40&md5=026ed7da2f2400b5a7325e2a8d8888a3",Article,Scopus,2-s2.0-84904803295
"Kalyuzhnaya, M.G., Yang, S., Rozova, O.N., Smalley, N.E., Clubb, J., Lamb, A., Gowda, G.A.N., Raftery, D., Fu, Y., Bringel, F., Vuilleumier, S., Beck, D.A.C., Trotsenko, Y.A., Khmelenina, V.N., Lidstrom, M.E.","Highly efficient methane biocatalysis revealed in a methanotrophic bacterium",2013,"Nature Communications","4",, 2785,"","",,60,10.1038/ncomms3785,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890147287&doi=10.1038%2fncomms3785&partnerID=40&md5=c22189d6f81a7a06a29051da40cb7820",Article,Scopus,2-s2.0-84890147287
"Yang, S., Hoggard, J.C., Lidstrom, M.E., Synovec, R.E.","Comprehensive discovery of 13C labeled metabolites in the bacterium Methylobacterium extorquens AM1 using gas chromatography-mass spectrometry",2013,"Journal of Chromatography A","1317",,,"175","185",,4,10.1016/j.chroma.2013.08.059,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887174649&doi=10.1016%2fj.chroma.2013.08.059&partnerID=40&md5=8c288a3681e3585dd1bba71c870c2d4a",Article,Scopus,2-s2.0-84887174649
"Chistoserdova, L., Lidstrom, M.E.","Aerobic methylotrophic prokaryotes",2013,"The Prokaryotes: Prokaryotic Physiology and Biochemistry",,,,"267","285",,25,10.1007/978-3-642-30141-4_68,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925520175&doi=10.1007%2f978-3-642-30141-4_68&partnerID=40&md5=753833fe592867f3f319985ebedb79ef",Book Chapter,Scopus,2-s2.0-84925520175
"Vorobev, A., Beck, D.A.C., Kalyuzhnaya, M.G., Lidstrom, M.E., Chistoserdova, L.","Comparative transcriptomics in three Methylophilaceae species uncover different strategies for environmental adaptation",2013,"PeerJ","2013","1", e115,"","",,6,10.7717/peerj.115,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885119847&doi=10.7717%2fpeerj.115&partnerID=40&md5=837d5bc92db5267838f99451c8aa698a",Article,Scopus,2-s2.0-84885119847
"Chistoserdova, L., Kalyuzhnaya, M.G., Lidstrom, M.E.","Cycling single-carbon compounds: From omics to novel Concepts: Formerly obscure microbial species emerge as major players in environmental cycling of carbon and nitrogen",2013,"Microbe","8","10",,"395","400",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885232222&partnerID=40&md5=111f0d020c40ace1772eaa702ab5a90b",Article,Scopus,2-s2.0-84885232222
"Beck, D.A.C., Kalyuzhnaya, M.G., Malfatti, S., Tringe, S.G., del Rio, T.G., Ivanova, N., Lidstrom, M.E., Chistoserdova, L.","A metagenomic insight into freshwater methane-utilizing communities and evidence for cooperation between the Methylococcaceae and the Methylophilaceae",2013,"PeerJ","2013","1", e23,"","",,36,10.7717/peerj.23,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877150840&doi=10.7717%2fpeerj.23&partnerID=40&md5=d2038ef9d9dc63de54589a5a14a4f257",Article,Scopus,2-s2.0-84877150840
"Mustakhimov, I., Kalyuzhnaya, M.G., Lidstrom, M.E., Chistoserdova, L.","Insights into denitrification in methylotenera mobilis from denitrification pathway and methanol metabolism mutants",2013,"Journal of Bacteriology","195","10",,"2207","2211",,19,10.1128/JB.00069-13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877967219&doi=10.1128%2fJB.00069-13&partnerID=40&md5=7cc721caba7bf8da1c2339bc6ffed9e8",Article,Scopus,2-s2.0-84877967219
"Cecilia Martinez-Gomez, N., Nguyen, S., Lidstrom, M.E.","Elucidation of the role of the methylene-tetrahydromethanopterin dehydrogenase MtdA in the tetrahydromethanopterin-dependent oxidation pathway in methylobacterium extorquens AM1",2013,"Journal of Bacteriology","195","10",,"2359","2367",,9,10.1128/JB.00029-13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877997315&doi=10.1128%2fJB.00029-13&partnerID=40&md5=6c01dfd77994f9b19f193945230be788",Article,Scopus,2-s2.0-84877997315
"Yang, S., Hoggard, J.C., Lidstrom, M.E., Synovec, R.E.","Gas Chromatography and Comprehensive Two-Dimensional Gas Chromatography Hyphenated with Mass Spectrometry for Targeted and Nontargeted Metabolomics",2013,"Metabolomics in Practice: Successful Strategies to Generate and Analyze Metabolic Data",,,,"69","92",,6,10.1002/9783527655861.ch4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886110002&doi=10.1002%2f9783527655861.ch4&partnerID=40&md5=739efabd5af5ade3bd7e70fb3582897c",Book Chapter,Scopus,2-s2.0-84886110002
"Hu, B., Lidstrom, M.","CcrR, a TetR family transcriptional regulator, activates the transcription of a gene of the ethylmalonyl coenzyme a pathway in methylobacterium extorquens AM1",2012,"Journal of Bacteriology","194","11",,"2802","2808",,12,10.1128/JB.00061-12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863991679&doi=10.1128%2fJB.00061-12&partnerID=40&md5=ce0c50168ba8b30f5cb9484d94f34dc2",Article,Scopus,2-s2.0-84863991679
"Yang, S., Nadeau, J.S., Humston-Fulmer, E.M., Hoggard, J.C., Lidstrom, M.E., Synovec, R.E.","Gas chromatography-mass spectrometry with chemometric analysis for determining 12C and 13C labeled contributions in metabolomics and 13C flux analysis",2012,"Journal of Chromatography A","1240",,,"156","164",,11,10.1016/j.chroma.2012.03.072,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860487447&doi=10.1016%2fj.chroma.2012.03.072&partnerID=40&md5=f1b87bb98c16de6c5cfdcb96adc1be63",Article,Scopus,2-s2.0-84860487447
"Sauter, L.M., Latypova, E., Smalley, N.E., Lidstrom, M.E., Hallam, S., Kalyuzhnaya, M.G.","Methanotrophic communities of Saanich Inlet: A microcosm perspective",2012,"Systematic and Applied Microbiology","35","3",,"198","203",,5,10.1016/j.syapm.2011.10.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858700649&doi=10.1016%2fj.syapm.2011.10.006&partnerID=40&md5=682f42c40990f089f273814e70cdf350",Article,Scopus,2-s2.0-84858700649
"Yang, S., Synovec, R.E., Kalyuzhnaya, M.G., Lidstrom, M.E.","Development of a solid phase extraction protocol coupled with liquid chromatography mass spectrometry to analyze central carbon metabolites in lake sediment microcosms",2011,"Journal of Separation Science","34","24",,"3597","3605",,6,10.1002/jssc.201100533,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83455250217&doi=10.1002%2fjssc.201100533&partnerID=40&md5=8e74a58bfad4d9ee4b806da727000cea",Article,Scopus,2-s2.0-83455250217
"Skovran, E., Palmer, A.D., Rountree, A.M., Good, N.M., Lidstrom, M.E.","XoxF is required for expression of methanol dehydrogenase in Methylobacterium extorquens AM1",2011,"Journal of Bacteriology","193","21",,"6032","6038",,25,10.1128/JB.05367-11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055054718&doi=10.1128%2fJB.05367-11&partnerID=40&md5=18573e7bac091e7240d5c6c969902a64",Article,Scopus,2-s2.0-80055054718
